CUSTOMER_ID	FIRST_NAME	CREDIT
-1	Felix	122,70
-2	Sam	68,06
-3	Emil	143,27
-4	Anton	12,98
-5	Bert	73,66
-6	Jens	96,38
-7	Roland	132,10
-8	Richard	296,80
-9	Martin	72,16
-10	Max	263,35
-11	Lisa	149,79
-12	Sarah	124,52
-13	Anna	157,48
-14	Gisela	253,90
-15	Hermann	58,69
-16	Herbert	171,07
-17	Sissi	33,60
-18	Susi	92,07
-19	Martina	135,49
-20	Nora	200,93
-21	Peter	179,18
-22	Silvia	144,94
-23	Sandra	225,75
-24	Ludwig	231,56
-25	Leonie	295,49
-26	Christoph	93,73
-27	Konstatin	37,24
-28	Luis	6,27
-29	Dieter	126,04
-30	Mark	117,00
-31	Ingo	152,32
-32	Udo	4,32
-33	Uwe	220,33
-34	Walter	136,65
-35	Andreas	77,38
-36	Sophie	272,25
